"BenSampID","StationID","CollDate","StreamName","Basin","Subecoregion","CollMeth","Location","Sample Season","RepNum","FamTotTaxa","FamEPTTax","%Ephem","%PT - Hydropsychidae","Fam%Scrap","%Chiro","Fam%2Dom","FamHBI","%Ephem Score","%PT-H Score","%Chironomidae Score","Fam Richness Score","Fam EPT Score","Fam %Scraper Score","Fam %2Dom Score","Fam %MFBI Score","Fam SCI","Season","Year","Target_Count","method","limit","EcoregionCode","TotTaxa","HBI","EPTTax","%5Dom","%ClngP-HS","Richness Score","RichnessFinal","HBIScore","HBIFinal","EPT Score","EPTFinal","EPHEM","PT-H","Pct5DOM","PctClng-HS","CPMI63+CHOWAN","%Scrap","%Intoler","PctScrap","PctIntol","CPMI65-CHOWAN","ID","IRYear","CollectorID","Region","EcoRegion","County","AssessmentMethod","Reviewer","SeasonalDifferences","SummaryAssessment","FactorsWatershed","RecentChange","FinalAssessmentRating"
"DOT11377R110","6ADOT000.46",2018-10-31,"Dotson Creek","Tennessee-Big Sandy","Cumberland Mountains (69d)","Riffle","off Rt. 636","Fall 2018",1,15,7,0.91,32.7,23.64,10.91,47.27,4.15,1.48,91.93,89.09,68.18,63.64,45.81,76.2,86.1,65.3,"Fall",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRF11261R110","6AGRF000.56",2018-04-13,"Right Fork Garden Creek","Tennessee-Big Sandy","Cumberland Mountains (69d)","Riffle","Off Rt. 624 across from Rt. 627","Spring 2018",1,11,5,26.36,0.9,18.18,44.55,66.36,4.95,43.01,2.55,55.45,50,45.45,35.24,48.61,74.2,44.31,"Spring",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRF11309R110","6AGRF000.56",2018-10-30,"Right Fork Garden Creek","Tennessee-Big Sandy","Cumberland Mountains (69d)","Riffle","Off Rt. 624 across from Rt. 627","Fall 2018",1,13,6,41.82,2.7,26.36,7.27,52.73,4.04,68.22,7.66,92.73,59.09,54.55,51.09,68.31,87.7,61.17,"Fall",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRF10674R110","6AGRF002.36",2018-04-13,"Right Fork Garden Creek","Tennessee-Big Sandy","Cumberland Mountains (69d)","Riffle","Off Rt. 624","Spring 2018",1,9,4,52.73,0,23.64,19.09,67.27,4.48,86.02,0,80.91,40.91,36.36,45.81,47.29,81.15,52.31,"Spring",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRF11339R110","6AGRF002.36",2018-10-30,"Right Fork Garden Creek","Tennessee-Big Sandy","Cumberland Mountains (69d)","Riffle","Off Rt. 624","Fall 2018",1,13,6,22.73,0.9,36.36,36.36,59.09,4.78,37.08,2.55,63.64,59.09,54.55,70.47,59.12,76.74,52.9,"Fall",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSS10813R110","6AGSS002.37",2018-04-11,"Grassy Creek","Tennessee-Big Sandy","Cumberland Mountains (69d)","Riffle","Off Rt. 610","Spring 2018",1,13,6,2.73,23.6,15.45,40.91,54.55,4.49,4.45,66.39,59.09,59.09,54.55,29.95,65.69,81.02,52.53,"Spring",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSS11345R110","6AGSS002.37",2018-09-11,"Grassy Creek","Tennessee-Big Sandy","Cumberland Mountains (69d)","Riffle","Off Rt. 610","Fall 2018",1,18,7,10.91,7.3,28.18,2.73,57.27,4.75,17.8,20.43,97.27,81.82,63.64,54.62,61.74,77.27,59.32,"Fall",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCR10696R110","6AMCR005.94",2018-05-16,"McClure River","Tennessee-Big Sandy","Cumberland Mountains (69d)","Riffle","Off Rt. 83","Spring 2018",1,14,7,64.55,8.2,5.45,9.09,70,4.11,100,22.98,90.91,63.64,63.64,10.57,43.35,86.63,60.21,"Spring",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCR11363R110","6AMCR005.94",2018-10-25,"McClure River","Tennessee-Big Sandy","Cumberland Mountains (69d)","Riffle","Off Rt. 83","Fall 2018",1,11,6,45.45,0.9,40.91,3.64,45.45,4.17,74.15,2.55,96.36,50,54.55,79.28,78.82,85.7,65.18,"Fall",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCR10695R110","6AMCR009.92",2018-05-16,"McClure River","Tennessee-Big Sandy","Cumberland Mountains (69d)","Riffle","Rt. 63 near low water bridge","Spring 2018",1,15,6,46.36,12.7,5.45,20.91,66.36,4.45,75.63,35.75,79.09,68.18,54.55,10.57,48.61,81.55,56.74,"Spring",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RPC11244R110","6ARPC000.52",2018-04-11,"Russell Prater Creek","Tennessee-Big Sandy","Cumberland Mountains (69d)","Riffle","Rt. T-767 in Haysi","Spring 2018",1,10,3,8.18,0.9,63.64,15.45,70,4.49,13.35,2.55,84.55,45.45,27.27,100,43.35,81.02,49.69,"Spring",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RPC11300R110","6ARPC000.52",2018-10-25,"Russell Prater Creek","Tennessee-Big Sandy","Cumberland Mountains (69d)","Riffle","Rt. T-767 in Haysi","Fall 2018",1,15,5,9.09,1.8,47.27,1.82,60,4.73,14.83,5.11,98.18,68.18,45.45,91.61,57.8,77.44,57.33,"Fall",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAT10638R110","6ASAT000.26",2018-05-22,"Slate Creek","Tennessee-Big Sandy","Cumberland Mountains (69d)","Riffle","Above bridge at Appalachian School of Law","Spring 2018",1,9,4,48.18,0.9,8.18,26.36,73.64,4.85,78.6,2.55,73.64,40.91,36.36,15.86,38.1,75.67,45.21,"Spring",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAT11346R110","6ASAT000.26",2018-10-23,"Slate Creek","Tennessee-Big Sandy","Cumberland Mountains (69d)","Riffle","Above bridge at Appalachian School of Law","Fall 2018",1,16,6,27.27,0,40,12.73,39.09,4.81,44.49,0,87.27,72.73,54.55,77.52,88.02,76.34,62.61,"Fall",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BUC9425R110","6BBUC000.24",2016-09-27,"Burns Creek","Tennessee-Big Sandy","Cumberland Mountains (69d)","Riffle","Off Burns Creek Road @ Tacoma","Fall 2016",1,16,10,7.27,28.2,10,16.36,50.91,4.44,11.86,79.16,83.64,72.73,90.91,19.38,70.94,81.82,63.8,"Fall",2016,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHN9551R110","6BCHN002.14",2017-05-01,"Chaney Creek","Tennessee-Big Sandy","Cumberland Mountains (69d)","Riffle","Off Rt. 615 in golf course","Spring 2017",1,20,12,25.45,28.2,12.73,3.64,42.73,3.65,41.52,79.16,96.36,90.91,100,24.67,82.76,93.45,76.1,"Spring",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHN10096R110","6BCHN002.14",2017-10-04,"Chaney Creek","Tennessee-Big Sandy","Cumberland Mountains (69d)","Riffle","Off Rt. 615 in golf course","Fall 2017",1,12,7,26.36,6.4,25.45,3.64,54.55,4.61,43.01,17.88,96.36,54.55,63.64,49.33,65.69,79.28,58.72,"Fall",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"xir10131R110","5AXIR000.94",2017-11-15,"UT TO FALLS CREEK","chowan","Carolina Slate Belt (45c)","Riffle","SOUTH OF Rt 49","Fall 2017",1,14,7,22.73,49.1,31.82,6.36,67.27,3.88,37.08,100,93.64,63.64,63.64,61.66,47.29,89.97,69.61,"Fall",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COV11260R110","6BCOV007.56",2018-03-29,"Cove Creek","Tennessee-Big Sandy","Cumberland Mountains (69d)","Riffle","Along Rt. 722","Spring 2018",1,19,14,64.55,19.1,15.45,5.45,47.27,3.46,100,53.63,94.55,86.36,100,29.95,76.2,96.18,79.61,"Spring",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COV11532R110","6BCOV007.56",2018-10-17,"Cove Creek","Tennessee-Big Sandy","Cumberland Mountains (69d)","Riffle","Along Rt. 722","Fall 2018",1,22,16,34.55,22.7,23.64,10.91,29.09,3.62,56.35,63.84,89.09,100,100,45.81,100,93.85,81.12,"Fall",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CRC8989R110","6BCRC002.17",2016-09-28,"Clear Creek","Tennessee-Big Sandy","Cumberland Mountains (69d)","Riffle","Clear Creek Road - Above Ramsey","Fall 2016",1,17,12,30.91,21.8,10,7.27,49.09,3.67,50.42,61.29,92.73,77.27,100,19.38,73.57,93.05,70.96,"Fall",2016,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GUE9569R110","6BGUE006.50",2017-04-18,"Guest River","Tennessee-Big Sandy","Cumberland Mountains (69d)","Riffle","Off Rt. 72 bridge","Spring 2017",1,10,4,22.73,0,17.27,54.55,65.45,5.33,37.08,0,45.45,45.45,36.36,33.47,49.92,68.67,39.55,"Spring",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GUE10060R110","6BGUE006.50",2017-10-26,"Guest River","Tennessee-Big Sandy","Cumberland Mountains (69d)","Riffle","Off Rt. 72 bridge","Fall 2017",1,15,5,23.64,0,29.09,5.45,58.18,4.86,38.56,0,94.55,68.18,45.45,56.38,60.43,75.53,54.89,"Fall",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LSR9474R110","6BLSR001.48",2016-11-01,"Little Stony Creek","Tennessee-Big Sandy","Cumberland Mountains (69d)","Riffle","Rt. 805 off Rt. 72","Fall 2016",1,19,12,26.36,39.1,22.73,7.27,37.27,3.42,43.01,100,92.73,86.36,100,44.05,90.65,96.79,81.7,"Fall",2016,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LSR9563R110","6BLSR001.48",2017-04-18,"Little Stony Creek","Tennessee-Big Sandy","Cumberland Mountains (69d)","Riffle","Rt. 805 off Rt. 72","Spring 2017",1,18,12,39.09,29.1,17.27,16.36,33.64,3.89,63.77,81.72,83.64,81.82,100,33.47,95.9,89.84,78.77,"Spring",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LSR9564R110","6BLSR001.48",2017-04-18,"Little Stony Creek","Tennessee-Big Sandy","Cumberland Mountains (69d)","Riffle","Rt. 805 off Rt. 72","Spring 2017",2,21,13,34.55,27.3,10.91,15.45,36.36,3.82,56.35,76.61,84.55,95.45,100,21.14,91.96,90.91,77.12,"Spring",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LSR10408R110","6BLSR001.48",2017-10-11,"Little Stony Creek","Tennessee-Big Sandy","Cumberland Mountains (69d)","Riffle","Rt. 805 off Rt. 72","Fall 2017",1,17,13,44.55,20,20.91,1.82,43.64,3.62,72.67,56.18,98.18,77.27,100,40.52,81.45,93.85,77.52,"Fall",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LSR10409R110","6BLSR001.48",2017-10-11,"Little Stony Creek","Tennessee-Big Sandy","Cumberland Mountains (69d)","Riffle","Rt. 805 off Rt. 72","Fall 2017",2,18,12,50,11.8,20.91,3.64,39.09,3.6,81.57,33.2,96.36,81.82,100,40.52,88.02,94.12,76.95,"Fall",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLL9550R110","6BPLL002.55",2017-04-18,"S. F. Powell River","Tennessee-Big Sandy","Cumberland Mountains (69d)","Riffle","Off Rt. 613","Spring 2017",1,15,6,34.55,7.3,20,15.45,37.27,5.21,56.35,20.43,84.55,68.18,54.55,38.76,90.65,70.45,60.49,"Spring",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLL10053R110","6BPLL002.55",2017-10-15,"S. F. Powell River","Tennessee-Big Sandy","Cumberland Mountains (69d)","Riffle","Off Rt. 613","Fall 2017",1,12,6,34.55,2.7,27.27,7.27,40.91,5.31,56.35,7.66,92.73,54.55,54.55,52.85,85.39,68.98,59.13,"Fall",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RAM10697R110","6BRAM002.32",2018-05-07,"Ramey Branch","Tennessee-Big Sandy","Cumberland Mountains (69d)","Riffle","Off Rt. 664","Spring 2018",1,16,8,4.59,42.2,1.83,32.11,56.88,3.75,7.48,100,67.89,72.73,72.73,3.56,62.31,91.98,59.83,"Spring",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RAM11324R110","6BRAM002.32",2018-11-07,"Ramey Branch","Tennessee-Big Sandy","Cumberland Mountains (69d)","Riffle","Off Rt. 664","Fall 2018",1,23,12,7.27,33.6,0.91,46.36,58.18,4.49,11.86,94.48,53.64,100,100,1.76,60.43,81.08,62.91,"Fall",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PEN10785R110","4APEN000.05",2018-04-11,"Pensions Branch","Roanoke","Carolina Slate Belt (45c)","MACS","Pensions Br East of Rt 738 Kingwoods Rd","Spring 2018",1,14,3,10,0.9,11.82,11.82,38.18,5.94,16.31,2.55,88.18,63.64,27.27,22.9,89.33,59.67,46.23,"Spring",2018,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"POP9958R110","4APOP000.85",2017-04-11,"Popes Creek","Roanoke","Carolina Slate Belt (45c)","MACS","Popes Ck @ Rte 698 Middle School Rd","Spring 2017",1,17,6,8.18,30,0.91,23.64,47.27,4.6,13.35,84.27,76.36,77.27,54.55,1.76,76.2,79.41,57.9,"Spring",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"POP10658R110","4APOP000.85",2017-11-14,"Popes Creek","Roanoke","Carolina Slate Belt (45c)","MACS","Popes Ck @ Rte 698 Middle School Rd","Fall 2017",1,13,1,0,32.7,35.45,3.64,60,5.08,0,91.93,96.36,59.09,9.09,68.71,57.8,72.33,56.91,"Fall",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hsc9947R110","5AHSC000.75",2017-04-18,"Horsepen Creek","chowan","Carolina Slate Belt (45c)","MACS","uptream of S Meherrin R","Spring 2017",1,21,11,26.36,17.3,11.82,45.45,58.18,4.55,43.01,48.52,54.55,95.45,100,22.9,60.43,80.08,63.12,"Spring",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hsc10127R110","5AHSC000.75",2017-11-27,"Horsepen Creek","chowan","Carolina Slate Belt (45c)","Riffle","uptream of S Meherrin R","Fall 2017",1,17,7,11.82,44.5,15.45,18.18,36.36,3.76,19.28,100,81.82,77.27,63.64,29.95,91.96,91.71,69.45,"Fall",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRA9502R110","6BSRA000.11",2017-05-08,"Straight Creek","Tennessee-Big Sandy","Cumberland Mountains (69d)","Riffle","Above con. with N.F. Powell River","Spring 2017",1,12,4,35.45,3.6,10,37.27,72.73,5.05,57.84,10.21,62.73,54.55,36.36,19.38,39.41,72.73,44.15,"Spring",2017,110,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
