"BenSampID","StationID","CollDate","Target_Count","StreamName","Location","CollMeth","DEQREG","Collector","EcoregionCode","Sample Season","RepNum","SCI","FamTotTaxa","FamEPTTax","%Ephem","%PT - Hydropsychidae","Fam%Scrap","%Chiro","Fam%2Dom","FamHBI","Fam SCI","Season","Year","method","limit","Ecoregion","TotTaxa","HBI","EPTTax","%5Dom","%ClngP-HS","VCPMI63","%Scrap","%Intoler","VCPMI65","ID","IRYear","CollectorID","Region","Basin","EcoRegion","County","AssessmentMethod","Reviewer","SeasonalDifferences","SummaryAssessment","FactorsWatershed","RecentChange","FinalAssessmentRating","Lat","Long","HabSampID","HSampIndex","CollTime","EnterDate","Field Team","Comments","ALTER","BANKS","BANKVEG","COVER","EMBED","FLOW","POOLSUB","POOLVAR","RIFFLES","RIPVEG","SEDIMENT","SINUOSITY","SUBSTRATE","VELOCITY","TotalHabitat"
"SLE6084R110","2-SLE002.65",2014-04-28,110,"Salle Creek","US Rt. 60","MACS","PRO","WHS WGS","45e","Spring 2014",1,52.2,14,8,22.73,10,9.09,32.73,60,4.99,52.24,"Spring",2014,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,433,2020,"WGS","PRO","James","45e","Powhatan","VSCI",NA,NA,NA,NA,NA,NA,37.56583,-78.00222,"SLE2605",2605,"12:30",2014-11-25,"WHS, WGS","Sample Comments:  NA HabParameter Comments:  NA",14,10,14,NA,NA,11,14,13,NA,18,9,10,14,NA,127
"SLE6084R110","2-SLE002.65",2014-04-28,110,"Salle Creek","US Rt. 60","MACS","PRO","WHS WGS","45e","Spring 2014",1,52.2,14,8,22.73,10,9.09,32.73,60,4.99,52.24,"Spring",2014,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,433,2020,"WGS","PRO","James","45e","Powhatan","VSCI",NA,NA,NA,NA,NA,NA,37.56583,-78.00222,"SLE2611",2611,"12:30",2014-11-26,NA,"Sample Comments:  NA HabParameter Comments:  NA",14,10,14,NA,NA,11,14,13,NA,18,9,10,14,NA,127
"XKL10729R110","2-XKL000.37",2018-05-09,110,"X-Trib to Flat Branch","Lewis & Clark Drive","Riffle","VRO","BVW,RTT","64c","Spring 2018",1,25,10,3,0,1.8,6.36,75.45,83.64,5.82,24.98,"Spring",2018,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472,2020,"BVW","VRO","James","64c","Albemarle","VSCI",NA,NA,NA,NA,NA,NA,38.14908333,-78.42908333,"XKL4577",4577,"10:00",2018-08-03,"BVW,RTT","Sample Comments:  NA HabParameter Comments:  NA",18,6,18,NA,12,18,NA,NA,18,15,15,NA,14,15,149
"XKL10729R110","2-XKL000.37",2018-05-09,110,"X-Trib to Flat Branch","Lewis & Clark Drive","Riffle","VRO","BVW,RTT","64c","Spring 2018",1,25,10,3,0,1.8,6.36,75.45,83.64,5.82,24.98,"Spring",2018,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472,2020,"BVW","VRO","James","64c","Albemarle","VSCI",NA,NA,NA,NA,NA,NA,38.14908333,-78.42908333,"xkl4735",4735,"10:00",2018-11-15,"bvw, rtt","Sample Comments:  NA HabParameter Comments:  NA",18,6,18,NA,12,18,NA,NA,18,15,15,NA,14,15,149
"xkl11132R110","2-XKL000.37",2018-05-09,110,"X-Trib to Flat Branch","Lewis & Clark Drive","Riffle","VRO","bvw, rtt","64c","Spring 2018",1,23.8,10,2,0,0.9,5.45,71.82,82.73,5.88,23.81,"Spring",2018,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472,2020,"BVW","VRO","James","64c","Albemarle","VSCI",NA,NA,NA,NA,NA,NA,38.14908333,-78.42908333,"XKL4577",4577,"10:00",2018-08-03,"BVW,RTT","Sample Comments:  NA HabParameter Comments:  NA",18,6,18,NA,12,18,NA,NA,18,15,15,NA,14,15,149
"xkl11132R110","2-XKL000.37",2018-05-09,110,"X-Trib to Flat Branch","Lewis & Clark Drive","Riffle","VRO","bvw, rtt","64c","Spring 2018",1,23.8,10,2,0,0.9,5.45,71.82,82.73,5.88,23.81,"Spring",2018,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472,2020,"BVW","VRO","James","64c","Albemarle","VSCI",NA,NA,NA,NA,NA,NA,38.14908333,-78.42908333,"xkl4735",4735,"10:00",2018-11-15,"bvw, rtt","Sample Comments:  NA HabParameter Comments:  NA",18,6,18,NA,12,18,NA,NA,18,15,15,NA,14,15,149
"rap7607R110","3-RAP088.21",2015-04-23,110,"Rapidan River","Just US of clearing at park boundary, SW side of restricted road","Riffle","NRO","lf, bvw, rtt","66a","Spring 2015",1,76.5,13,8,67.27,13.6,45.45,1.82,57.27,3.65,76.45,"Spring",2015,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,538,2020,"BDS","NRO","Rappahannock","66a","Madison","VSCI",NA,NA,NA,NA,NA,NA,38.48708676,-78.40670074,"RAP3230",3230,"13:45",2016-01-21,"LDF/RTT/BVW","Sample Comments:  air logger: 10302582 QC temp: 6.06 °C
water logger: 10603041 HabParameter Comments:  NA",20,15,20,NA,16,20,NA,NA,20,19,18,NA,19,19,186
"rap7607R110","3-RAP088.21",2015-04-23,110,"Rapidan River","Just US of clearing at park boundary, SW side of restricted road","Riffle","NRO","lf, bvw, rtt","66a","Spring 2015",1,76.5,13,8,67.27,13.6,45.45,1.82,57.27,3.65,76.45,"Spring",2015,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,538,2020,"BDS","NRO","Rappahannock","66a","Madison","VSCI",NA,NA,NA,NA,NA,NA,38.48708676,-78.40670074,"rap3255",3255,"16:45",2016-02-02,"lf, bvw, rtt","Sample Comments:  NA HabParameter Comments:  NA",20,15,20,NA,16,20,NA,NA,20,19,18,NA,19,19,186
"THO8126R110","3-THO022.27",2016-03-24,110,"Thornton River","Above confluence with N. F. Thornton River","Riffle","NRO","LDF/BDS","64c","Spring 2016",1,37.2,11,7,20.91,3.6,6.36,66.36,81.82,5.4,37.23,"Spring",2016,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,554,2020,"BDS","NRO","Rappahannock","64c","Rappahannock","VSCI",NA,NA,NA,NA,NA,NA,38.65722,-78.21611,"THO3467",3467,"10:55",2016-06-24,"LDF/BDS","Sample Comments:  STP upstream HabParameter Comments:  NA",19,17,14,NA,15,19,NA,NA,20,6,18,NA,19,15,162
"THO8126R110","3-THO022.27",2016-03-24,110,"Thornton River","Above confluence with N. F. Thornton River","Riffle","NRO","LDF/BDS","64c","Spring 2016",1,37.2,11,7,20.91,3.6,6.36,66.36,81.82,5.4,37.23,"Spring",2016,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,554,2020,"BDS","NRO","Rappahannock","64c","Rappahannock","VSCI",NA,NA,NA,NA,NA,NA,38.65722,-78.21611,"THO3521",3521,"10:55",2016-08-18,"LDF/BDS","Sample Comments:  STP upstream. HabParameter Comments:  NA",19,17,14,NA,15,19,NA,NA,20,6,18,NA,19,15,162
